cnae_key,cnae_class,tsb_associated,tsb_cnae5_count,tsb_cnae5_list,tsb_scn67_list,tsb_setor_scn67_list,tsb_exposicao_scn67_max,tsb_grupo_exposicao,tsb_leitura_tecnica
267,3313,False,0,,,,0.0,Sem exposicao TSB direta,
268,3314,False,0,,,,0.0,Sem exposicao TSB direta,
269,3315,False,0,,,,0.0,Sem exposicao TSB direta,
270,3316,False,0,,,,0.0,Sem exposicao TSB direta,
271,3317,False,0,,,,0.0,Sem exposicao TSB direta,
272,3319,False,0,,,,0.0,Sem exposicao TSB direta,
273,3321,True,1,33210,3300,"Manutenção, reparação e instalação de máquinas e equipamentos",0.1268,Exposicao intermediaria TSB,Exposição associada a atividades habilitadoras e de suporte.
274,3329,False,0,,,,0.0,Sem exposicao TSB direta,
275,3511,True,1,35115,3500,"Energia elétrica, gás natural e outras utilidades",0.9723,Alta exposicao TSB,"Alta exposição, com forte relevância para a transição energética."
276,3520,True,1,35204,3500,"Energia elétrica, gás natural e outras utilidades",0.9723,Alta exposicao TSB,"Alta exposição, com forte relevância para a transição energética."
277,3600,True,1,36006,3680,"Água, esgoto e gestão de resíduos",0.9120999999999999,Alta exposicao TSB,"Setor associado a saneamento, resíduos e serviços ambientais."
